t,p_total_kw,p_central_setpoint_kw,n_active,cluster_cap_kw,p_cons_ev_skoda,p_cons_ev_tesla,p_cons_ev_vw,p_mc_setpoint_ev_skoda,p_mc_setpoint_ev_tesla,p_mc_setpoint_ev_vw,p_charger_setpoint_ev_skoda,p_charger_setpoint_ev_tesla,p_charger_setpoint_ev_vw,rel_priority_ev_skoda,rel_priority_ev_tesla,rel_priority_ev_vw
0.0,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.1,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.2,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.30000000000000004,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.4,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.5,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.6000000000000001,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.7000000000000001,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.8,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.9,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.0,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.1,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.2000000000000002,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.3,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.4000000000000001,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.5,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.6,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.7000000000000002,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.8,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.9000000000000001,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2.0,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2.1,0.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2.2,0.0,20.0,1,0.0,0.0,0.0,0.0,11.085817988763843,0.0,0.0,0.0,0.0,0.0,1.0,,
2.3000000000000003,0.0,20.0,1,0.0,0.0,0.0,0.0,11.085817988763843,0.0,0.0,0.0,0.0,0.0,1.0,,
2.4000000000000004,0.0,20.0,1,0.0,0.0,0.0,0.0,11.085817988763843,0.0,0.0,0.0,0.0,0.0,1.0,,
2.5,0.0,20.0,1,0.0,0.0,0.0,0.0,11.085817988763843,0.0,0.0,0.0,0.0,0.0,1.0,,
2.6,0.0,20.0,1,0.0,0.0,0.0,0.0,11.085817988763843,0.0,0.0,0.0,0.0,0.0,1.0,,
2.7,0.0,20.0,1,0.0,0.0,0.0,0.0,11.085817988763843,0.0,0.0,0.0,0.0,0.0,1.0,,
2.8000000000000003,0.0,20.0,1,0.0,0.0,0.0,0.0,11.085817988763843,0.0,0.0,0.0,0.0,0.0,1.0,,
2.9000000000000004,0.0,20.0,1,0.0,0.0,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
3.0,0.0,20.0,1,0.0,0.0,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
